positivas,negativas,total,pos_periodo,neg_periodo,tot_periodo,tempo_id,servico_id
3,5,8,0,0,0,2,493
179,418,597,12,16,28,2,494
185,487,672,2,11,13,2,495
3,2,5,0,0,0,2,496
4,4,8,0,0,0,2,497
16,32,48,1,2,3,2,498
67,102,169,4,11,15,2,499
33,29,62,0,2,2,2,500
4,0,4,0,0,0,2,501
12,8,20,0,0,0,2,502
11,7,18,1,1,2,2,503
0,2,2,0,0,0,2,504
5,1,6,0,0,0,2,505
3,0,3,0,0,0,2,506
9,3,12,0,1,1,2,507
5,2,7,0,0,0,2,508
12,9,21,1,0,1,2,509
15,4,19,1,0,1,2,510
16,3,19,0,0,0,2,511
432,930,1362,67,99,166,2,512
124,452,576,10,21,31,2,513
11,11,22,0,0,0,2,514
5,0,5,0,0,0,2,515
1352,161,1513,46,5,51,2,516
48,30,78,0,0,0,2,517
12,4,16,0,0,0,2,518
6,0,6,0,0,0,2,519
10,1,11,0,0,0,2,520
16,4,20,0,0,0,2,521
13,2,15,0,0,0,2,522
39,36,75,2,1,3,2,523
23,18,41,0,1,1,2,524
55,9,64,0,0,0,2,525
33,1,34,2,0,2,2,526
25,11,36,0,0,0,2,527
51361,47689,99050,1649,1069,2718,2,528
412,795,1207,20,13,33,2,529
1562,3139,4701,26,37,63,2,530
308,715,1023,8,10,18,2,531
23146,52249,75395,484,703,1187,2,532
5111,16100,21211,23,40,63,2,533
16012,42993,59005,289,939,1228,2,534
3772,6874,10646,146,190,336,2,535
5962,13778,19740,204,282,486,2,536
3879,11027,14906,166,466,632,2,537
110,173,283,9,5,14,2,538
98,88,186,3,2,5,2,539
990,972,1962,40,41,81,2,540
428,516,944,26,20,46,2,541
1424,879,2303,32,17,49,2,542
961,623,1584,46,17,63,2,543
885,500,1385,15,13,28,2,544
66,54,120,1,3,4,2,545
480,621,1101,29,31,60,2,546
234,285,519,2,2,4,2,547
2645,3010,5655,177,189,366,2,548
5,5,10,0,0,0,2,549
8,4,12,0,1,1,2,550
10,4,14,0,1,1,2,551
5,2,7,0,0,0,2,552
9,3,12,0,1,1,2,553
34,9,43,1,1,2,2,554
12,0,12,1,0,1,2,555
24,2,26,0,0,0,2,556
2,0,2,0,0,0,2,557
160,19,179,2,0,2,2,558
2,2,4,0,0,0,2,559
3,3,6,0,0,0,2,560
17,2,19,0,0,0,2,561
2,4,6,0,0,0,2,562
2,1,3,0,0,0,2,563
7,2,9,0,0,0,2,564
4,4,8,0,0,0,2,565
12,3,15,0,0,0,2,566
5,2,7,0,0,0,2,567
4,3,7,0,1,1,2,568
12,3,15,0,0,0,2,569
28,34,62,1,0,1,2,570
6,3,9,6,3,9,2,571
3,12,15,0,0,0,2,572
8,21,29,8,21,29,2,573
1,0,1,0,0,0,2,574
35,9,44,1,0,1,2,575
11,3,14,0,0,0,2,576
0,0,0,-23,-7,-30,2,577
5,10,15,0,0,0,2,578
58,115,173,7,12,19,2,579
4,20,24,0,3,3,2,580
5,21,26,1,6,7,2,581
58,22,80,3,2,5,2,582
6,4,10,0,0,0,2,583
6,4,10,0,0,0,2,584
27,10,37,0,0,0,2,585
3,13,16,0,0,0,2,586
9,3,12,0,2,2,2,587
30,25,55,1,2,3,2,588
19,17,36,0,1,1,2,589
19,54,73,1,4,5,2,590
14,23,37,0,1,1,2,591
6867,5323,12190,246,246,492,2,592
42,40,82,3,2,5,2,593
32,20,52,1,2,3,2,594
35,110,145,4,13,17,2,595
2,5,7,0,0,0,2,596
6,4,10,0,0,0,2,597
3,1,4,0,0,0,2,598
0,2,2,0,0,0,2,599
124,56,180,1,3,4,2,600
16,4,20,0,0,0,2,601
41,31,72,5,0,5,2,602
26,8,34,3,1,4,2,603
112,17,129,2,2,4,2,604
80,21,101,1,1,2,2,605
9,2,11,2,0,2,2,606
50,19,69,9,5,14,2,607
23,14,37,0,1,1,2,608
16,1,17,1,0,1,2,609
91,6,97,3,0,3,2,610
31,7,38,1,0,1,2,611
1,2,3,1,0,1,2,612
379,151,530,49,19,68,2,613
3,2,5,0,0,0,2,614
4,0,4,0,0,0,2,615
2,0,2,0,0,0,2,616
4,9,13,0,0,0,2,617
4,0,4,0,0,0,2,618
2,0,2,1,0,1,2,619
5,1,6,0,0,0,2,620
3,3,6,0,0,0,2,621
11,5,16,0,0,0,2,622
5,5,10,0,0,0,2,623
1,0,1,0,0,0,2,624
10,35,45,0,6,6,2,625
1,0,1,0,0,0,2,626
2,0,2,0,0,0,2,627
3,1,4,0,0,0,2,628
1,3,4,0,0,0,2,629
7,3,10,0,0,0,2,630
5,8,13,0,2,2,2,631
28,19,47,0,0,0,2,632
0,2,2,0,0,0,2,633
2,0,2,0,0,0,2,634
327,42,369,4,1,5,2,635
1,2,3,0,0,0,2,636
3,4,7,0,0,0,2,637
7,6,13,0,0,0,2,638
6,0,6,1,0,1,2,639
9,5,14,0,0,0,2,640
5,7,12,0,0,0,2,641
4,0,4,0,0,0,2,642
2,1,3,0,0,0,2,643
2,0,2,0,0,0,2,644
5,1,6,0,0,0,2,645
1,2,3,0,0,0,2,646
3,0,3,0,0,0,2,647
0,0,0,0,0,0,2,648
5,3,8,0,0,0,2,649
30,25,55,0,2,2,2,650
867,378,1245,22,8,30,2,651
6922,817,7739,220,32,252,2,652
512,556,1068,31,26,57,2,653
516,523,1039,12,14,26,2,654
20,4,24,0,0,0,2,655
0,0,0,-85,-44,-129,2,656
5,4,9,0,0,0,2,657
5,3,8,0,0,0,2,658
61,120,181,6,26,32,2,659
1185,4593,5778,60,231,291,2,660
8,0,8,0,0,0,2,661
7,4,11,0,1,1,2,662
8,7,15,0,0,0,2,663
1,2,3,0,0,0,2,664
6,3,9,0,0,0,2,665
43,31,74,0,3,3,2,666
35,48,83,0,3,3,2,667
5,3,8,0,0,0,2,668
11,13,24,0,0,0,2,669
11,2,13,1,0,1,2,670
17,19,36,2,0,2,2,671
2,2,4,0,0,0,2,672
2,9,11,0,0,0,2,673
3,9,12,0,0,0,2,674
11,6,17,0,0,0,2,675
2,2,4,0,0,0,2,676
3,15,18,0,0,0,2,677
3,5,8,0,0,0,2,678
2,3,5,0,0,0,2,679
3,4,7,0,2,2,2,680
39,89,128,0,5,5,2,681
3,8,11,0,0,0,2,682
1,2,3,0,0,0,2,683
58,55,113,2,3,5,2,684
34,43,77,1,3,4,2,685
311,154,465,20,9,29,2,686
21,58,79,1,7,8,2,687
40,113,153,1,4,5,2,688
5,8,13,0,0,0,2,689
7,13,20,0,1,1,2,690
19,24,43,0,1,1,2,691
13,47,60,0,3,3,2,692
37,134,171,1,8,9,2,693
14,14,28,1,0,1,2,694
33,12,45,1,2,3,2,695
19,24,43,2,0,2,2,696
1,3,4,0,0,0,2,697
75,292,367,3,16,19,2,698
37,42,79,2,0,2,2,699
11,11,22,1,1,2,2,700
8,2,10,0,0,0,2,701
6,5,11,2,0,2,2,702
3,3,6,1,0,1,2,703
9,7,16,0,0,0,2,704
1,7,8,0,0,0,2,705
7,10,17,0,0,0,2,706
11,14,25,1,0,1,2,707
10,2,12,0,0,0,2,708
1,15,16,0,0,0,2,709
4,15,19,0,0,0,2,710
8,1,9,0,0,0,2,711
4,0,4,0,0,0,2,712
60,270,330,2,7,9,2,713
28,30,58,0,0,0,2,714
57,83,140,0,5,5,2,715
59,110,169,5,1,6,2,716
37,68,105,0,3,3,2,717
14,5,19,1,0,1,2,718
18,22,40,0,0,0,2,719
47,31,78,0,0,0,2,720
2,7,9,0,0,0,2,721
29,218,247,1,13,14,2,722
16,85,101,0,1,1,2,723
11,15,26,0,0,0,2,724
4,8,12,0,0,0,2,725
5,3,8,0,0,0,2,726
4,3,7,0,0,0,2,727
0,3,3,0,0,0,2,728
2,5,7,0,0,0,2,729
3,5,8,0,0,0,2,730
1,4,5,0,0,0,2,731
2,3,5,0,0,0,2,732
2,5,7,0,0,0,2,733
1,4,5,0,0,0,2,734
5,7,12,0,0,0,2,735
4,2,6,0,0,0,2,736
0,0,0,0,0,0,2,737
2,2,4,0,0,0,2,738
7,1,8,0,0,0,2,739
2,0,2,0,0,0,2,740
9,34,43,1,1,2,2,741
0,3,3,0,0,0,2,742
11,1,12,0,0,0,2,743
24,10,34,1,0,1,2,744
34,71,105,4,16,20,2,745
2,11,13,0,0,0,2,746
4,1,5,0,0,0,2,747
6,7,13,1,0,1,2,748
4,1,5,0,0,0,2,749
2,2,4,0,0,0,2,750
6,1,7,0,0,0,2,751
6,12,18,2,1,3,2,752
49,80,129,0,4,4,2,753
5,7,12,0,0,0,2,754
2,3,5,0,0,0,2,755
3,3,6,1,1,2,2,756
8,5,13,1,0,1,2,757
1,0,1,0,0,0,2,758
1,0,1,0,0,0,2,759
0,0,0,0,0,0,2,760
1,0,1,0,0,0,2,761
0,0,0,0,0,0,2,762
1,1,2,0,0,0,2,763
1,0,1,0,0,0,2,764
1,1,2,1,0,1,2,765
0,0,0,0,0,0,2,766
4,9,13,0,0,0,2,767
7,18,25,0,0,0,2,768
0,4,4,0,0,0,2,769
11,0,11,1,0,1,2,770
1,1,2,0,0,0,2,771
0,1,1,0,0,0,2,772
23,5,28,0,0,0,2,773
1548,392,1940,32,4,36,2,774
49,32,81,1,0,1,2,775
64,11,75,2,0,2,2,776
710,879,1589,49,113,162,2,777
94,896,990,12,138,150,2,778
7,6,13,0,0,0,2,779
9,6,15,0,0,0,2,780
15,36,51,0,0,0,2,781
4,1,5,0,0,0,2,782
6,11,17,1,0,1,2,783
564,996,1560,12,24,36,2,784
183,56,239,8,0,8,2,785
382,605,987,12,11,23,2,786
21,46,67,1,2,3,2,787
247,882,1129,5,2,7,2,788
115,206,321,2,0,2,2,789
61,72,133,1,1,2,2,790
136,733,869,5,29,34,2,791
8,1,9,0,0,0,2,792
6,3,9,0,0,0,2,793
7,3,10,0,0,0,2,794
197,43,240,18,3,21,2,795
9,7,16,0,0,0,2,796
5,1,6,0,0,0,2,797
6,0,6,0,0,0,2,798
35,6,41,2,0,2,2,799
3,1,4,0,0,0,2,800
86,15,101,1,0,1,2,801
147,22,169,2,0,2,2,802
134,125,259,4,2,6,2,803
20,8,28,2,0,2,2,804
13,21,34,0,1,1,2,805
17,6,23,1,2,3,2,806
65,87,152,5,13,18,2,807
7,8,15,0,0,0,2,808
7,0,7,0,0,0,2,809
7,4,11,0,0,0,2,810
2,2,4,0,0,0,2,811
2,1,3,1,0,1,2,812
34,16,50,0,0,0,2,813
5,0,5,0,0,0,2,814
50,19,69,1,3,4,2,815
84,4,88,0,0,0,2,816
89,109,198,1,1,2,2,817
347,171,518,17,10,27,2,818
156,98,254,11,2,13,2,819
1891,1236,3127,115,59,174,2,820
34,23,57,1,2,3,2,821
1722,647,2369,103,29,132,2,822
30,52,82,0,1,1,2,823
613,242,855,44,10,54,2,824
1068,386,1454,45,6,51,2,825
763,593,1356,13,8,21,2,826
13,4,17,0,0,0,2,827
30,14,44,0,0,0,2,828
7,3,10,0,0,0,2,829
15,21,36,0,1,1,2,830
4,1,5,0,0,0,2,831
37,10,47,1,1,2,2,832
4,4,8,0,0,0,2,833
31,7,38,3,1,4,2,834
4,2,6,0,0,0,2,835
91,117,208,7,7,14,2,836
8,3,11,1,0,1,2,837
21,17,38,1,1,2,2,838
8,3,11,0,0,0,2,839
4,4,8,0,0,0,2,840
36,20,56,0,2,2,2,841
50,57,107,0,8,8,2,842
20,43,63,1,0,1,2,843
2,9,11,0,0,0,2,844
8,5,13,0,0,0,2,845
23,5,28,1,0,1,2,846
3,1,4,1,0,1,2,847
6,1,7,1,0,1,2,848
14,9,23,0,0,0,2,849
273,261,534,24,18,42,2,850
439,389,828,40,32,72,2,851
4,5,9,0,0,0,2,852
37,26,63,3,4,7,2,853
7,20,27,1,2,3,2,854
6,15,21,0,0,0,2,855
13,21,34,0,0,0,2,856
33,9,42,1,1,2,2,857
14,5,19,1,0,1,2,858
9,20,29,0,0,0,2,859
9,5,14,0,2,2,2,860
16,5,21,0,0,0,2,861
48,40,88,0,1,1,2,862
7,45,52,2,3,5,2,863
14,7,21,0,0,0,2,864
23,108,131,5,6,11,2,865
29,11,40,2,0,2,2,866
4,8,12,0,0,0,2,867
8,0,8,0,0,0,2,868
11,3,14,0,0,0,2,869
61,5,66,2,0,2,2,870
1263,208,1471,128,22,150,2,871
126,68,194,4,3,7,2,872
50,18,68,1,1,2,2,873
34,21,55,4,1,5,2,874
6,4,10,0,0,0,2,875
163,83,246,4,3,7,2,876
157,68,225,4,2,6,2,877
131,76,207,8,3,11,2,878
13,6,19,2,0,2,2,879
8,9,17,0,0,0,2,880
76,7,83,0,0,0,2,881
10,34,44,2,1,3,2,882
7,8,15,0,1,1,2,883
10,6,16,0,3,3,2,884
4,10,14,1,2,3,2,885
10,5,15,0,0,0,2,886
11,5,16,0,0,0,2,887
14,4,18,0,0,0,2,888
17,20,37,1,0,1,2,889
7,3,10,0,0,0,2,890
22,14,36,1,0,1,2,891
1,0,1,0,0,0,2,892
14,12,26,0,0,0,2,893
8,3,11,1,0,1,2,894
98,36,134,5,2,7,2,895
28,28,56,0,0,0,2,896
5,0,5,0,0,0,2,897
2,0,2,0,0,0,2,898
0,1,1,0,0,0,2,899
1,3,4,0,0,0,2,900
3,3,6,0,0,0,2,901
2,2,4,0,0,0,2,902
12,10,22,0,0,0,2,903
10,13,23,1,0,1,2,904
10,15,25,0,0,0,2,905
24,8,32,1,0,1,2,906
2,4,6,0,0,0,2,907
7,4,11,0,1,1,2,908
4,0,4,0,0,0,2,909
3,3,6,0,0,0,2,910
4,1,5,0,0,0,2,911
3,5,8,0,1,1,2,912
37,8,45,0,0,0,2,913
12,13,25,0,0,0,2,914
4,17,21,0,0,0,2,915
3,4,7,0,0,0,2,916
0,4,4,0,0,0,2,917
2,5,7,0,0,0,2,918
29,123,152,0,3,3,2,919
21,14,35,1,0,1,2,920
18,4,22,1,0,1,2,921
0,1,1,0,1,1,2,922
5,7,12,0,3,3,2,923
2,1,3,0,0,0,2,924
6,14,20,2,5,7,2,925
1,0,1,0,0,0,2,926
0,3,3,0,0,0,2,927
1,3,4,0,0,0,2,928
5,13,18,0,4,4,2,929
4,1,5,0,0,0,2,930
0,1,1,0,0,0,2,931
2,3,5,0,1,1,2,932
0,2,2,0,0,0,2,933
1,2,3,0,0,0,2,934
0,3,3,0,0,0,2,935
0,0,0,0,0,0,2,936
1,2,3,0,0,0,2,937
4,11,15,0,1,1,2,938
0,1,1,0,0,0,2,939
2,4,6,0,0,0,2,940
9,6,15,0,1,1,2,941
2,2,4,0,0,0,2,942
16,27,43,1,2,3,2,943
2,1,3,0,0,0,2,944
24,48,72,0,0,0,2,945
3,4,7,0,0,0,2,946
1,3,4,0,0,0,2,947
41,46,87,0,0,0,2,948
1,1,2,0,0,0,2,949
3,0,3,0,0,0,2,950
2341,912,3253,21,11,32,2,951
345,127,472,14,4,18,2,952
2,0,2,0,0,0,2,953
8,2,10,0,0,0,2,954
12,5,17,1,0,1,2,955
48,21,69,1,1,2,2,956
38,99,137,0,0,0,2,957
1,1,2,0,0,0,2,958
285,548,833,9,8,17,2,959
5,1,6,0,0,0,2,960
2,4,6,0,0,0,2,961
4,1,5,0,0,0,2,962
14,5,19,0,0,0,2,963
14,3,17,1,0,1,2,964
2,0,2,0,0,0,2,965
5,4,9,0,0,0,2,966
7,4,11,1,0,1,2,967
5,4,9,0,0,0,2,968
2,2,4,1,0,1,2,969
3,0,3,0,0,0,2,970
6,1,7,0,0,0,2,971
2,1,3,0,0,0,2,972
26,13,39,1,1,2,2,973
2,7,9,0,1,1,2,974
17,5,22,1,0,1,2,975
10,3,13,0,0,0,2,976
10,6,16,1,0,1,2,977
17,23,40,2,3,5,2,978
58,16,74,3,0,3,2,979
24,5,29,4,0,4,2,980
3,6,9,0,1,1,2,981
6,1,7,0,0,0,2,982
7,11,18,0,1,1,2,983
293,42,335,5,2,7,2,984
13,2,15,1,0,1,2,985
36,12,48,3,1,4,2,986
22,7,29,0,0,0,2,987
27,12,39,2,1,3,2,988
8,4,12,1,0,1,2,989
2,1,3,0,0,0,2,990
16,7,23,0,0,0,2,991
9,0,9,0,0,0,2,992
5,1,6,0,0,0,2,993
7,3,10,0,0,0,2,994
6,2,8,1,0,1,2,995
1319,1544,2863,33,58,91,2,996
0,0,0,-9,-14,-23,2,997
46,76,122,2,3,5,2,998
23,41,64,1,3,4,2,999
12,14,26,1,0,1,2,1000
1,5,6,0,1,1,2,1001
7,5,12,1,0,1,2,1002
17,3,20,2,0,2,2,1003
4,5,9,0,1,1,2,1004
0,0,0,0,0,0,2,1005
821,489,1310,39,29,68,2,1006
70,195,265,2,1,3,2,1007
5,1,6,0,0,0,2,1008
6,5,11,0,0,0,2,1009
5,2,7,0,0,0,2,1010
6,1,7,0,0,0,2,1011
18,6,24,0,0,0,2,1012
5,10,15,0,0,0,2,1013
1,8,9,0,1,1,2,1014
3,2,5,0,1,1,2,1015
36,46,82,3,9,12,2,1016
0,0,0,0,0,0,2,1017
5,0,5,3,0,3,2,1018
1,3,4,0,0,0,2,1019
2,0,2,0,0,0,2,1020
1,0,1,0,0,0,2,1021
0,0,0,0,0,0,2,1022
1,1,2,0,0,0,2,1023
1,0,1,0,0,0,2,1024
0,2,2,0,0,0,2,1025
0,1,1,0,0,0,2,1026
167,213,380,22,15,37,2,1027
4,9,13,0,0,0,2,1028
0,1,1,0,0,0,2,1029
3,0,3,0,0,0,2,1030
5,1,6,0,0,0,2,1031
6,0,6,1,0,1,2,1032
4,6,10,1,0,1,2,1033
1,1,2,0,0,0,2,1034
2,2,4,0,0,0,2,1035
0,2,2,0,1,1,2,1036
2,0,2,0,0,0,2,1037
12,1,13,0,0,0,2,1038
3,7,10,0,0,0,2,1039
33,87,120,0,2,2,2,1040
157,572,729,10,45,55,2,1041
6,1,7,0,0,0,2,1042
8,10,18,0,0,0,2,1043
3,5,8,0,0,0,2,1044
14,6,20,0,0,0,2,1045
7,3,10,0,0,0,2,1046
128,149,277,7,8,15,2,1047
59,281,340,3,8,11,2,1048
55,27,82,0,0,0,2,1049
2,1,3,0,0,0,2,1050
23,17,40,1,0,1,2,1051
169,292,461,5,18,23,2,1052
11,11,22,0,0,0,2,1053
10,14,24,1,0,1,2,1054
15,2,17,0,0,0,2,1055
1,0,1,0,0,0,2,1056
13,7,20,0,0,0,2,1057
227,266,493,6,3,9,2,1058
362,239,601,16,9,25,2,1059
6,2,8,0,0,0,2,1060
64,182,246,6,18,24,2,1061
5,13,18,0,0,0,2,1062
3,16,19,0,0,0,2,1063
1174,1730,2904,83,76,159,2,1064
138,759,897,5,54,59,2,1065
197,642,839,7,4,11,2,1066
78,252,330,11,14,25,2,1067
31,63,94,1,3,4,2,1068
11,10,21,0,0,0,2,1069
0,0,0,-38,-120,-158,2,1070
20,16,36,0,0,0,2,1071
184,248,432,3,14,17,2,1072
2,4,6,0,0,0,2,1073
0,2,2,0,0,0,2,1074
1,2,3,0,0,0,2,1075
7,0,7,0,0,0,2,1076
3,3,6,0,0,0,2,1077
2,23,25,0,0,0,2,1078
8,7,15,0,0,0,2,1079
15,15,30,0,0,0,2,1080
2,4,6,0,0,0,2,1081
23,9,32,0,0,0,2,1082
7,10,17,1,0,1,2,1083
1709,1227,2936,76,57,133,2,1084
18,4,22,1,0,1,2,1085
7,4,11,0,0,0,2,1086
40,27,67,6,5,11,2,1087
7,4,11,0,0,0,2,1088
22,22,44,0,0,0,2,1089
33,76,109,2,2,4,2,1090
0,1,1,0,0,0,2,1091
56,30,86,2,0,2,2,1092
243,101,344,5,5,10,2,1093
81,12,93,1,0,1,2,1094
23,10,33,1,0,1,2,1095
29,12,41,1,2,3,2,1096
37,18,55,1,1,2,2,1097
67,41,108,1,0,1,2,1098
1694,1207,2901,23,19,42,2,1099
13,17,30,0,0,0,2,1100
49,20,69,0,0,0,2,1101
26,3,29,2,0,2,2,1102
61,32,93,5,0,5,2,1103
5,14,19,0,0,0,2,1104
14,6,20,1,0,1,2,1105
13,3,16,0,0,0,2,1106
3,2,5,0,0,0,2,1107
2,1,3,1,0,1,2,1108
4,6,10,0,0,0,2,1109
5,2,7,0,0,0,2,1110
3,0,3,0,0,0,2,1111
22,1,23,1,0,1,2,1112
19,1,20,1,0,1,2,1113
8,5,13,0,0,0,2,1114
8,6,14,1,0,1,2,1115
5,19,24,0,0,0,2,1116
15,8,23,0,0,0,2,1117
15,11,26,0,2,2,2,1118
373,1161,1534,28,103,131,2,1119
163,963,1126,15,65,80,2,1120
73,206,279,4,3,7,2,1121
1360,253,1613,14,3,17,2,1122
18,4,22,1,0,1,2,1123
466,1265,1731,31,57,88,2,1124
43,79,122,2,0,2,2,1125
4,3,7,0,0,0,2,1126
1,8,9,0,0,0,2,1127
7,25,32,0,2,2,2,1128
0,2,2,0,0,0,2,1129
2,1,3,0,0,0,2,1130
1,2,3,0,0,0,2,1131
2,0,2,0,0,0,2,1132
641,928,1569,4,3,7,2,1133
2,0,2,0,0,0,2,1134
4,5,9,0,0,0,2,1135
28,45,73,1,3,4,2,1136
169,268,437,5,9,14,2,1137
10,3,13,0,0,0,2,1138
15,0,15,0,0,0,2,1139
8,10,18,1,1,2,2,1140
0,2,2,0,0,0,2,1141
8,11,19,0,0,0,2,1142
10,31,41,2,1,3,2,1143
22,4,26,1,0,1,2,1144
4,6,10,1,1,2,2,1145
4027,3201,7228,491,699,1190,2,1146
152,8,160,0,0,0,2,1147
13,6,19,1,0,1,2,1148
43,28,71,2,1,3,2,1149
40,17,57,0,0,0,2,1150
54,192,246,1,5,6,2,1151
229,591,820,6,15,21,2,1152
56,178,234,1,2,3,2,1153
28,10,38,0,0,0,2,1154
12,13,25,0,0,0,2,1155
50,65,115,2,10,12,2,1156
15,10,25,0,0,0,2,1157
11,2,13,0,0,0,2,1158
26,8,34,0,1,1,2,1159
43,37,80,0,0,0,2,1160
42,85,127,0,1,1,2,1161
195,307,502,2,4,6,2,1162
41,91,132,3,3,6,2,1163
39,42,81,0,0,0,2,1164
8,1,9,0,0,0,2,1165
2180,3517,5697,52,82,134,2,1166
292,227,519,4,4,8,2,1167
9,22,31,0,2,2,2,1168
183,153,336,5,4,9,2,1169
12075,5647,17722,217,189,406,2,1170
30,24,54,0,0,0,2,1171
194,55,249,2,0,2,2,1172
28,5,33,0,0,0,2,1173
7,5,12,1,1,2,2,1174
1276,351,1627,45,13,58,2,1175
213,162,375,4,2,6,2,1176
274,426,700,1,1,2,2,1177
67,7,74,2,0,2,2,1178
634873,180586,815459,4424,1583,6007,2,1179
262,101,363,9,1,10,2,1180
118,52,170,5,1,6,2,1181
72,34,106,5,2,7,2,1182
659,221,880,20,9,29,2,1183
121,91,212,6,5,11,2,1184
0,0,0,-183,-159,-342,2,1185
77,130,207,1,1,2,2,1186
254,381,635,10,13,23,2,1187
249,358,607,14,16,30,2,1188
215,72,287,7,1,8,2,1189
10,6,16,0,1,1,2,1190
54,16,70,1,0,1,2,1191
1064,1916,2980,37,57,94,2,1192
0,0,0,-31,-75,-106,2,1193
144,857,1001,9,13,22,2,1194
1019,1326,2345,30,70,100,2,1195
0,0,0,-310,-267,-577,2,1196
969,1099,2068,30,26,56,2,1197
2639,5213,7852,146,294,440,2,1198
76,124,200,5,4,9,2,1199
115,180,295,11,8,19,2,1200
2314,1691,4005,191,123,314,2,1201
3,4,7,0,0,0,2,1202
8,4,12,0,0,0,2,1203
1,2,3,0,1,1,2,1204
0,0,0,0,0,0,2,1205
1503,1433,2936,45,64,109,2,1206
7,24,31,0,0,0,2,1207
91,31,122,1,1,2,2,1208
132,43,175,3,3,6,2,1209
0,0,0,-731,-464,-1195,2,1210
0,0,0,-47,-50,-97,2,1211
240,52,292,7,0,7,2,1212
113,16,129,0,2,2,2,1213
1537,1922,3459,114,99,213,2,1214
13,13,26,0,0,0,2,1215
163,66,229,0,1,1,2,1216
14,5,19,0,0,0,2,1217
8,3,11,1,0,1,2,1218
5,1,6,1,0,1,2,1219
2,0,2,0,0,0,2,1220
0,0,0,0,0,0,2,1221
2,4,6,0,1,1,2,1222
0,0,0,0,0,0,2,1223
0,0,0,0,0,0,2,1224
0,0,0,0,0,0,2,1225
1,4,5,0,0,0,2,1226
2,0,2,1,0,1,2,1227
8,7,15,2,2,4,2,1228
6,1,7,0,0,0,2,1229
0,1,1,0,0,0,2,1230
0,0,0,0,0,0,2,1231
0,1,1,0,1,1,2,1232
17,14,31,0,0,0,2,1233
1,1,2,0,0,0,2,1234
0,1,1,0,0,0,2,1235
1,2,3,0,0,0,2,1236
1,0,1,0,0,0,2,1237
19,19,38,1,1,2,2,1238
4,1,5,0,0,0,2,1239
8,6,14,0,0,0,2,1240
8,4,12,1,0,1,2,1241
0,0,0,0,0,0,2,1242
2,1,3,2,0,2,2,1243
2,1,3,0,0,0,2,1244
4,6,10,0,0,0,2,1245
0,0,0,0,0,0,2,1246
1,1,2,0,0,0,2,1247
36,33,69,1,0,1,2,1248
5,0,5,0,0,0,2,1249
2,1,3,0,1,1,2,1250
1,0,1,0,0,0,2,1251
2,1,3,0,0,0,2,1252
5,0,5,1,0,1,2,1253
0,0,0,0,0,0,2,1254
39,46,85,1,0,1,2,1255
1,0,1,0,0,0,2,1256
2,1,3,0,0,0,2,1257
0,0,0,0,0,0,2,1258
1,0,1,0,0,0,2,1259
7,7,14,0,0,0,2,1260
33,12,45,0,0,0,2,1261
1,0,1,0,0,0,2,1262
11,4,15,1,0,1,2,1263
0,0,0,0,0,0,2,1264
1,0,1,0,0,0,2,1265
2,0,2,0,0,0,2,1266
5,4,9,1,1,2,2,1267
6,10,16,0,0,0,2,1268
5,0,5,0,0,0,2,1269
0,0,0,0,0,0,2,1270
6,0,6,1,0,1,2,1271
2,0,2,0,0,0,2,1272
13,13,26,0,1,1,2,1273
1,0,1,0,0,0,2,1274
1,1,2,0,0,0,2,1275
1,2,3,0,0,0,2,1276
4,1,5,0,0,0,2,1277
0,0,0,0,0,0,2,1278
1,1,2,0,0,0,2,1279
1,0,1,0,0,0,2,1280
0,0,0,0,0,0,2,1281
0,5,5,0,0,0,2,1282
8,3,11,1,1,2,2,1283
4,0,4,0,0,0,2,1284
0,1,1,0,0,0,2,1285
0,1,1,0,1,1,2,1286
0,0,0,0,0,0,2,1287
3,2,5,0,1,1,2,1288
3,0,3,0,0,0,2,1289
15,18,33,0,0,0,2,1290
0,2,2,0,0,0,2,1291
3,1,4,1,0,1,2,1292
4,2,6,0,0,0,2,1293
1,0,1,0,0,0,2,1294
2,3,5,0,1,1,2,1295
3,2,5,0,0,0,2,1296
0,0,0,0,0,0,2,1297
3,1,4,0,0,0,2,1298
13,4,17,0,0,0,2,1299
0,0,0,0,0,0,2,1300
0,0,0,0,0,0,2,1301
5,9,14,0,1,1,2,1302
3,3,6,0,0,0,2,1303
3,2,5,0,0,0,2,1304
5,0,5,0,0,0,2,1305
0,1,1,0,1,1,2,1306
2,4,6,0,0,0,2,1307
2,2,4,1,0,1,2,1308
5,4,9,0,0,0,2,1309
3,4,7,0,1,1,2,1310
0,2,2,0,0,0,2,1311
0,10,10,0,2,2,2,1312
1,0,1,0,0,0,2,1313
1,0,1,0,0,0,2,1314
0,0,0,0,0,0,2,1315
1,0,1,0,0,0,2,1316
0,0,0,0,0,0,2,1317
4,4,8,0,0,0,2,1318
6,2,8,0,0,0,2,1319
0,0,0,0,0,0,2,1320
2,0,2,1,0,1,2,1321
0,1,1,0,0,0,2,1322
0,0,0,0,0,0,2,1323
5,0,5,0,0,0,2,1324
0,2,2,0,0,0,2,1325
1,1,2,0,0,0,2,1326
7,0,7,0,0,0,2,1327
8,4,12,0,0,0,2,1328
1,0,1,0,0,0,2,1329
1,0,1,0,0,0,2,1330
4,2,6,0,0,0,2,1331
2,0,2,0,0,0,2,1332
1,0,1,0,0,0,2,1333
